id,ms,x,y,z
595,12239,-1.42,0.59,12.45
596,12260,0.06,1.3,10.38
597,12276,-0.08,0.65,10.52
598,12293,2.82,1.78,12.09
599,12313,0.27,0.8,13.7
600,12330,-0.38,1.78,9.64
601,12346,-0.54,0.94,8.79
602,12363,0.36,1.36,8.74
603,12383,1.07,1.65,13.56
604,12400,-0.52,2.26,9.75
605,12415,2.66,1.59,13.24
606,12436,0.31,2.15,10.75
607,12452,-1.82,0.44,10.98
608,12472,0.21,2.93,11.04
609,12489,0.52,1.13,10.29
610,12505,0.5,2.43,10.29
611,12522,0.21,0.69,9.67
612,12542,-1.11,0.15,9.29
613,12559,1.71,0.23,9.16
614,12575,-0.21,-0.25,8.2
615,12596,-0.44,0.52,8.76
616,12612,0.67,-0.04,7.7
617,12629,-0.04,1.65,11.3
618,12649,-0.71,1.11,8.95
619,12666,1.4,2.64,11.71
620,12682,2.03,1.34,10.08
621,12698,2.07,0.65,8.51
622,12719,1.63,0.77,8.45
623,12735,-0.92,2.36,10.08
624,12756,-1.28,1.05,10.1
625,12772,1.34,0.73,8.85
626,12788,1.34,1.19,9.29
627,12804,-1.03,1.02,9.89
628,12821,0.21,1.46,9.62
629,12837,0.94,1.32,8.77
630,12858,-0.71,1.38,9.89
631,12874,1.03,0.61,9.12
632,12890,0.34,1.02,9.31
633,12907,-0.02,0.82,10.04
634,12923,0.25,1.0,9.37
635,12944,-0.15,0.77,9.71
636,12960,0.63,0.96,9.1
637,12977,-0.06,1.11,9.83
638,12993,0.29,1.21,9.58
639,13010,0.0,1.15,10.17
640,13026,0.17,0.9,9.29
641,13046,0.29,0.84,9.39
642,13063,0.15,0.79,9.69
643,13079,0.27,0.57,9.48
644,13096,0.11,0.5,10.06
645,13112,0.1,0.54,9.35
646,13129,0.15,0.42,9.73
647,13145,0.17,0.63,9.58
648,13161,-0.06,0.56,9.33
649,13181,0.33,0.63,9.58
650,13197,0.42,0.48,9.67
651,13214,0.11,0.48,9.64
652,13230,0.19,0.65,9.58
653,13247,0.36,0.48,10.15
654,13263,0.33,0.63,9.14
655,13280,0.08,0.5,9.37
656,13296,0.15,-0.29,9.56
657,13316,0.33,0.02,9.67
658,13333,0.27,0.23,9.56
659,13349,0.33,-0.11,9.62
660,13366,0.27,0.27,9.08
661,13382,0.06,0.13,9.73
662,13399,0.17,0.57,9.12
663,13415,0.23,0.4,9.25
664,13432,0.31,0.52,9.39
665,13448,0.5,0.9,9.62
666,13464,0.15,0.56,9.5
667,13485,-0.06,0.48,9.64
