id,ms,x,y,z
569,11971,-0.19,-0.27,10.12
570,11991,0.06,-0.17,9.58
571,12008,0.31,-0.13,9.14
572,12024,0.15,-0.73,9.27
573,12045,-0.04,-0.77,9.39
574,12061,0.11,-0.71,9.48
575,12077,0.11,-0.69,9.35
576,12098,0.19,-0.98,8.91
577,12114,0.13,-1.0,8.83
578,12131,0.27,-1.13,8.93
579,12151,0.21,-1.19,8.85
580,12168,-0.21,-0.84,9.45
581,12188,-0.08,-1.03,9.35
582,12205,0.02,-1.07,8.85
583,12225,0.0,-0.52,8.53
584,12242,0.04,-0.36,8.49
585,12258,-0.25,-0.31,8.49
586,12279,-0.11,-0.13,8.56
587,12295,0.0,-0.02,8.35
588,12316,0.27,-0.23,8.16
589,12331,-0.11,0.02,8.2
590,12347,-0.19,0.25,7.68
591,12364,0.21,0.31,7.64
592,12380,0.15,0.38,7.63
593,12397,0.19,0.57,7.34
594,12413,0.19,0.73,6.94
595,12434,0.1,0.54,7.09
596,12450,0.13,0.98,6.97
597,12467,-0.02,0.86,6.9
598,12483,-0.08,0.88,7.01
599,12503,-0.23,0.59,7.61
600,12520,-0.15,0.1,8.05
601,12536,0.0,-0.06,8.6
602,12553,0.06,0.1,8.68
603,12569,0.13,0.04,8.24
604,12590,0.02,-0.04,8.72
605,12606,-0.06,0.13,8.93
606,12623,-0.17,0.13,9.06
607,12639,0.04,0.17,9.02
608,12660,0.19,-0.06,9.37
609,12676,-0.17,-0.54,9.37
610,12695,0.06,-0.33,9.66
611,12712,-0.02,0.13,9.29
612,12728,-0.04,0.25,9.67
613,12746,-0.02,0.82,9.56
614,12765,0.0,0.77,9.81
615,12782,0.44,-0.73,9.79
616,12798,0.1,0.25,9.56
617,12815,0.31,-0.15,8.95
618,12835,-0.04,-0.02,9.69
619,12852,0.15,-0.56,10.33
620,12872,0.04,-0.57,9.96
621,12889,-0.02,-0.42,9.77
622,12909,-0.06,-0.17,9.39
623,12926,-0.23,-0.4,9.27
624,12946,0.48,-0.27,9.46
625,12962,0.23,0.25,8.77
626,12979,0.11,-0.34,9.56
627,12995,0.06,-0.29,9.48
628,13016,0.42,-0.44,9.35
629,13032,0.04,-0.59,9.1
630,13053,0.33,-1.03,10.42
631,13068,1.3,-2.72,7.63
632,13085,0.46,-1.97,9.71
633,13105,-0.42,-1.38,10.54
634,13126,0.38,-0.69,10.73
635,13142,-0.08,-1.26,11.15
636,13163,-0.1,-1.42,12.63
637,13183,-0.11,-0.67,12.38
638,13204,0.13,-1.26,12.34
639,13220,0.04,-0.82,11.84
640,13241,0.0,-0.86,11.86
641,13261,-0.1,-0.86,11.88
642,13278,-0.1,-0.56,11.19
643,13298,-0.04,-0.69,10.65
644,13319,-0.06,-0.48,10.23
645,13339,0.21,-0.34,10.25
646,13360,-0.29,-0.77,10.29
647,13376,-0.27,-1.4,11.05
648,13397,0.23,-1.65,10.54
649,13413,0.59,-1.28,9.54
650,13434,0.46,-1.05,9.33
651,13449,0.52,-0.98,9.75
652,13466,0.25,-1.03,10.63
653,13486,0.19,-0.77,10.15
654,13503,0.17,-0.23,9.96
655,13523,0.42,-0.34,9.67
656,13540,0.44,-0.63,9.73
657,13556,0.33,-0.86,9.52
658,13576,0.17,-1.13,10.1
659,13593,0.06,-0.79,9.29
660,13609,0.33,-0.61,8.72
661,13630,0.17,-1.05,9.16
662,13646,0.38,-0.63,9.5
663,13663,0.38,-1.19,8.91
664,13683,0.29,-0.9,9.71
665,13700,0.15,-0.42,8.77
666,13716,0.36,-0.77,9.39
667,13737,0.63,-0.54,8.83
668,13753,0.69,-0.54,9.16
669,13770,0.31,-0.38,9.02
670,13790,0.29,-0.38,9.29
671,13806,0.34,-0.19,8.76
672,13822,0.42,-0.29,8.58
673,13842,0.46,-0.36,8.99
674,13859,0.63,-0.21,8.35
675,13875,0.57,-0.11,8.33
676,13896,0.52,-0.36,8.03
677,13912,0.36,-0.33,7.34
678,13929,0.4,0.11,7.22
679,13945,0.34,0.46,6.99
680,13962,0.44,1.05,6.51
681,13978,0.44,1.19,6.44
682,13994,0.33,0.9,7.01
683,14011,0.44,0.88,6.82
684,14027,0.42,0.54,7.07
685,14048,0.75,-0.08,7.78
686,14064,0.44,0.04,7.45
687,14081,0.44,-0.13,8.05
688,14097,0.11,-0.33,7.43
689,14118,0.13,-0.56,8.01
690,14134,0.31,-0.57,8.51
691,14150,0.38,-0.48,8.6
692,14167,0.15,0.0,8.24
693,14183,0.06,0.25,8.08
694,14199,0.13,0.15,7.66
695,14219,-0.08,-0.17,8.03
696,14236,0.19,-0.42,9.56
697,14256,0.88,-1.05,10.4
698,14273,1.11,-0.21,12.68
699,14293,0.5,-2.8,9.94
700,14310,0.06,-0.02,9.79
701,14330,-0.13,-0.75,10.38
702,14347,0.61,-1.42,9.83
703,14367,0.33,-1.15,10.12
704,14388,-0.17,-1.42,10.56
705,14404,-0.5,-1.25,10.04
706,14425,-0.23,-1.0,9.77
707,14445,0.0,-1.07,10.17
708,14462,0.21,-0.96,9.85
709,14478,0.17,-1.34,9.98
710,14499,-0.15,-0.92,10.4
711,14519,0.63,-0.33,13.49
712,14536,-0.8,-3.14,9.06
713,14552,0.04,-1.82,9.25
714,14571,-0.79,-1.26,10.4
715,14592,-0.15,-1.49,10.98
716,14612,0.57,-1.67,10.98
717,14629,0.57,-1.02,10.1
718,14649,0.23,-0.96,10.58
719,14666,0.25,-1.02,11.57
720,14686,0.13,-0.04,11.88
721,14707,0.67,-1.32,11.88
722,14723,-0.06,-0.23,11.99
723,14744,0.0,0.23,12.22
724,14760,0.08,0.11,11.67
725,14781,0.04,-1.51,12.3
726,14797,0.29,-0.25,11.92
727,14818,0.1,-0.19,11.74
728,14834,0.15,-0.19,11.67
729,14855,0.25,-0.23,11.42
730,14871,0.1,0.11,11.15
731,14888,0.0,0.1,11.04
732,14908,0.29,0.15,10.61
733,14925,-0.19,0.13,10.52
734,14944,0.04,-0.17,9.87
735,14961,0.08,-0.88,10.1
736,14981,0.33,-0.98,10.27
737,14998,0.19,-0.42,10.5
738,15014,0.36,0.38,9.64
739,15035,0.38,0.15,9.52
740,15051,0.36,0.94,9.56
741,15067,0.42,0.29,10.19
742,15084,0.54,0.25,10.25
743,15100,0.48,0.38,9.67
744,15117,0.71,0.15,9.46
745,15133,0.5,0.42,8.97
746,15150,0.42,0.63,8.77
747,15170,0.27,0.13,9.33
748,15186,0.23,0.1,9.69
749,15203,0.11,0.46,8.91
750,15219,0.11,0.65,9.08
751,15236,0.33,1.05,8.33
752,15252,0.33,0.96,8.05
753,15269,0.25,1.0,8.12
754,15285,0.34,0.88,8.39
755,15302,0.25,1.15,8.41
756,15317,0.38,1.09,7.49
757,15333,0.5,1.4,6.94
758,15350,0.4,1.59,7.22
759,15366,0.5,1.67,6.99
760,15383,0.57,1.86,6.71
761,15399,0.52,1.84,6.42
762,15415,0.46,2.05,6.23
763,15436,0.27,2.22,6.51
764,15452,-0.06,2.09,6.9
765,15469,0.44,1.51,7.38
766,15485,0.15,1.02,8.28
767,15502,0.23,1.21,8.33
768,15518,0.06,1.57,8.47
769,15535,0.17,1.38,8.54
770,15551,0.36,1.36,8.53
771,15567,0.21,1.34,8.66
772,15584,0.36,1.28,8.68
773,15600,0.54,1.38,8.45
774,15617,0.15,1.36,8.56
775,15637,-0.06,0.9,9.02
776,15654,-0.04,1.09,9.75
777,15670,-0.36,1.61,9.41
778,15690,-0.25,2.09,10.25
779,15706,0.06,1.4,9.94
780,15722,0.34,0.44,9.66
781,15739,0.56,1.34,10.33
782,15759,0.46,1.61,10.33
783,15776,0.56,0.86,9.87
784,15792,0.56,0.34,9.58
785,15809,0.82,1.76,7.82
786,15825,0.82,2.24,8.81
787,15842,0.25,1.61,9.33
788,15858,0.42,0.96,9.58
789,15874,0.33,0.79,9.89
790,15891,0.08,1.32,9.73
791,15907,0.13,1.28,9.6
